entity,main-dev,added,total-added,ownership
src/connectors/connectSharedWorker/__mocks__/connectSharedWorker.js,Jeff Tougas,33,33,1
src/connectors/connectSharedWorker/connectSharedWorker.js,Jeff Tougas,43,43,1
src/connectors/connectSharedWorker/connectSharedWorker.test.js,Jeff Tougas,112,112,1
src/connectors/connectSharedWorker/index.js,Jeff Tougas,1,1,1
src/connectors/connectSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,Jeff Tougas,33,33,1
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.js,Jeff Tougas,53,53,1
src/connectors/connectSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,Jeff Tougas,104,104,1
src/connectors/connectSharedWorkerEventBus/index.js,Jeff Tougas,3,3,1
src/connectors/withErrors/ErrorHandler.js,Gary Paige,43,43,1
src/connectors/withErrors/ErrorHandler.test.js,Gary Paige,69,69,1
src/connectors/withErrors/index.js,Gary Paige,2,2,1
src/connectors/withSharedWorkerEventBus/__mocks__/connectSharedWorkerEventBus.js,Gary Paige,31,31,1
src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.js,Gary Paige,52,56,0.93
src/connectors/withSharedWorkerEventBus/connectSharedWorkerEventBus.test.js,Gary Paige,115,118,0.97
src/connectors/withSharedWorkerEventBus/index.js,Gary Paige,2,2,1
src/constants/ActionTypes.js,Muhamed Brifkani,4,4,1
src/constants/Activities.js,Ginu Philip Simon,68,68,1
src/constants/actionNames.js,Gary Paige,97,102,0.95
src/constants/actionTypes.js,Gary Paige,31,40,0.78
src/constants/contentTypes.js,Gary Paige,24,30,0.8
src/constants/healthStates.js,argvader,6,7,0.86
src/constants/serviceHeaderConstants.js,Gary Paige,13,13,1
src/constants/technicianKeys.js,Daniel Nalbach,5,5,1
src/featureToggleConfig.json,brennanbelew,7,7,1
src/i18n.js,Gary Paige,39,40,0.98
src/i18n.test.js,Gary Paige,12,13,0.92
src/index.css,Jeff Tougas,30,39,0.77
src/index.js,Gary Paige,53,102,0.52
src/index.scss,Gary Paige,279,294,0.95
src/littleroutes.js,Gary Paige,88,142,0.62
src/middleware/__mocks__/algoliasearch.js,Gary Paige,30,31,0.97
src/middleware/activitiesMiddleware.js,Ginu Philip Simon,60,60,1
src/middleware/activitiesMiddleware.test.js,Ginu Philip Simon,56,56,1
src/middleware/algoliaClient.js,Gary Paige,96,97,0.99
src/middleware/algoliaClient.test.js,Gary Paige,63,64,0.98
src/middleware/analyticsDispatcher.js,brennanbelew,16,18,0.89
src/middleware/analyticsDispatcher.test.js,brennanbelew,16,16,1
src/middleware/analyticsMiddleware.js,Gary Paige,55,74,0.74
src/middleware/analyticsMiddleware.test.js,Gary Paige,49,93,0.53
src/middleware/authenticationMiddleware.js,Gary Paige,143,192,0.74
src/middleware/authenticationMiddleware.test.js,Gary Paige,250,264,0.95
src/middleware/contentDetailMiddleware.js,Gary Paige,0,0,0
src/middleware/contentFlowMiddleware.js,Ginu Philip Simon,37,39,0.95
src/middleware/contentFlowMiddleware.test.js,Ginu Philip Simon,52,52,1
src/middleware/contentTabsMiddleware.js,Gary Paige,29,29,1
src/middleware/contentTabsMiddleware.test.js,Gary Paige,31,31,1
src/middleware/dapulseClient.js,Muhamed Brifkani,76,117,0.65
src/middleware/dapulseClient.test.js,Muhamed Brifkani,47,47,1
src/middleware/featureToggleMiddleware.js,brennanbelew,21,42,0.5
src/middleware/featureToggleMiddleware.test.js,brennanbelew,43,86,0.5
src/middleware/helixTabMiddleware.js,Gary Paige,133,152,0.88
src/middleware/helixTabMiddleware.test.js,Gary Paige,72,83,0.87
src/middleware/initializationMiddleware.js,Gary Paige,94,105,0.9
